"Latest: Time (s)","Latest: Temperature (°C)"
75.5,30.7499491157
76,30.8642640298
76.5,30.9595714316
77,31.0593222988
77.5,31.169395659
78,31.260433248
78.5,31.3794301258
79,31.4558600528
79.5,31.5602637065
80,31.6809119111
80.5,31.7677665872
81,31.8517148802
81.5,31.9357009051
82,32.0256230901
82.5,32.1362441938
83,32.2174097859
83.5,32.3089503012
84,32.3887183066
84.5,32.4655668596
85,32.5572393355
85.5,32.6519214364
86,32.7451769091
86.5,32.8518196619
87,32.9392599527
87.5,33.0059838836
88,33.1231897036
88.5,33.216720796
89,33.2687070322
89.5,33.3147667408
90,33.4247723059
90.5,33.5184892712
91,33.582488806
91.5,33.6390697085
92,33.713551682
92.5,33.7895627776
93,33.8790391874
93.5,33.958123574
94,34.0282921924
94.5,34.0910259053
95,34.1597668524
95.5,34.2210649145
96,34.3197977274
96.5,34.3886541395
97,34.4290863109
97.5,34.4575459161
98,34.5054916478
98.5,34.5639489922
99,34.6584350323
99.5,34.7244658953
100,34.7905304638
100.5,34.8881880899
101,34.9603525856
101.5,35.0400821482
102,35.1334151484
102.5,35.2012007767
103,35.2614859565
103.5,35.3308505928
104,35.3987455559
104.5,35.4787596538
105,35.5527824179
105.5,35.6071957767
106,35.6843241593
106.5,35.7675584983
107,35.8296444879
107.5,35.9008570859
108,35.9721136474
108.5,36.0540376008
109,36.1208340499
109.5,36.1922283866
110,36.260627164
110.5,36.3138551514
111,36.3792844278
111.5,36.4386607361
112,36.4919744466
112.5,36.55446067
113,36.6002049941
113.5,36.6658055076
114,36.723811241
114.5,36.7558804708
115,36.8200477612
115.5,36.8659051887
116,36.9240197151
116.5,36.983696818
117,37.0434078002
117.5,37.0801699471
118,37.1414690022
118.5,37.1843998684
119,37.2380885123
119.5,37.2856646757
120,37.3363345074
120.5,37.3655194329
121,37.419303014
121.5,37.4592749623
122,37.5100313211
122.5,37.557734805
123,37.6039210288
123.5,37.654750485
124,37.704064392
124.5,37.7395238726
125,37.7857944403
125.5,37.8351736088
126,37.8984768995
126.5,37.926281501
127,38.0252064998
127.5,38.0654235536
128,38.1242324143
128.5,38.1598446824
129,38.1970193822
129.5,38.2404080948
130,38.2869178723
130.5,38.3210394771
131,38.3629327484
131.5,38.4172664351
132,38.4467749621
132.5,38.499602794
133,38.544685338
133.5,38.5804559126
134,38.6380286857
134.5,38.6831782309
135,38.7190021398
135.5,38.7563984221
136,38.8016058511
136.5,38.8327963469
137,38.8686785389
137.5,38.9092579741
138,38.9358004416
138.5,38.9685988816
139,39.0186002421
139.5,39.0420478812
140,39.0827048709
140.5,39.1108627568
141,39.14059453
141.5,39.1672049863
142,39.2079186165
142.5,39.2251491923
143,39.2690238515
143.5,39.3082159228
144,39.3427192509
144.5,39.3725283899
145,39.4180459277
145.5,39.4447395412
146,39.4934369799
146.5,39.5201534945
147,39.5578848007
147.5,39.5972055682
148,39.6192329415
148.5,39.661730051
149,39.6932227995
149.5,39.7168498704
150,39.7310292088
150.5,39.7562426649
151,39.7893465055
151.5,39.8287724323
152,39.8508588505
152.5,39.8982060458
153,39.9203103665
153.5,39.9471590163
154,39.9708560191
154.5,39.9961400893
155,40.0214316769
155.5,40.046730798
156,40.0941870117
156.5,40.1321711646
157,40.1685886993
157.5,40.2097753299
158,40.2462265031
158.5,40.2604943218
159,40.3064849638
159.5,40.336630503
160,40.3604373176
160.5,40.3874266108
161,40.4255440782
161.5,40.450965462
162,40.4779842405
162.5,40.5066019913
163,40.5272765416
163.5,40.5559114101
164,40.5909231267
164.5,40.6323198734
165,40.66099142
165.5,40.704017607
166,40.7295253189
166.5,40.7566360207
167,40.77896927
167.5,40.8060964769
168,40.8316362597
168.5,40.8571841023
169,40.892325577
169.5,40.9130981893
170,40.9354746853
170.5,40.9530605832
171,40.9626545125
171.5,40.9866443498
172,41.0266433612
172.5,41.0602579789
173,41.065061221
173.5,41.0906833924
174,41.103497564
174.5,41.1195181758
175,41.133939482
175.5,41.1547748729
176,41.1836328959
176.5,41.206085281
177,41.2413804581
177.5,41.2718753332
178,41.3120181203
178.5,41.3425403186
179,41.3553953131
179.5,41.369859695
180,41.3891496821
180.5,41.4197018653
181,41.4454392642
181.5,41.4711851337
182,41.4905001053
182.5,41.5227023549
183,41.5436409564
183.5,41.5516957649
184,41.5742536688
184.5,41.5919823323
185,41.6097150466
185.5,41.6371281318
186,41.6516448712
186.5,41.6710047628
187,41.6887555915
187.5,41.7145822675
188,41.7178112102
188.5,41.7000536985
189,41.7242695013
189.5,41.753338514
190,41.7808026693
190.5,41.7937303748
191,41.813126016
191.5,41.8503147149
192,41.8681070012
192.5,41.8842853997
193,41.9069409147
193.5,41.9312221467
194,41.945794599
194.5,41.9603698401
195,41.9749478731
195.5,41.9943895991
196,42.0138363019
196.5,42.0365304221
197,42.0640967062
197.5,42.0673404583
198,42.090050618
198.5,42.1062763385
199,42.1322447451
199.5,42.1436087344
200,42.1663418546
200.5,42.1712141303
201,42.1955802422
201.5,42.2183290737
202,42.2313315003
202.5,42.2589691413
203,42.2719786171
203.5,42.2931238373
204,42.2980043523
204.5,42.3191569324
205,42.3386877082
205.5,42.3517110652
206,42.3761359918
206.5,42.3875370316
207,42.4021980776
207.5,42.4103443517
208,42.4282692971
208.5,42.4429383789
209,42.4625016648
209.5,42.4804392111
210,42.4820701124
210.5,42.503275098
211,42.5146956837
211.5,42.5326458819
212,42.5538653753
212.5,42.5603956771
213,42.5783569877
213.5,42.5865226661
214,42.6044903441
214.5,42.6093913808
215,42.620828402
215.5,42.6355357564
216,42.646976844
216.5,42.6616894319
217,42.6747697629
217.5,42.6878524258
218,42.6960302754
218.5,42.714024757
219,42.714024757
219.5,42.7254780929
220,42.7418431108
220.5,42.76476029
221,42.7696720492
221.5,42.7860469665
222,42.7925979622
222.5,42.8024255587
223,42.8171694376
223.5,42.8204462603
224,42.8401102924
224.5,42.8466661502
225,42.858140323
225.5,42.8810941022
226,42.8942138043
226.5,42.8974941002
227,42.9007745444
227.5,42.915538379
228,42.9237418082
228.5,42.9335871488
229,42.9450750706
229.5,42.9565648151
230,42.972981901
230.5,42.9795497788
231,42.9385103208
231.5,42.7876846603
232,42.5195907602
232.5,42.1452323012
233,41.7678771388
233.5,41.3795040961
